1113 RICKEN, 8.860609 47.320105;9.092031 47.317022;9.088694 47.20911;8.857739 47.212188;8.860609 47.320105
1114 NESSLAU, 9.092031 47.317022;9.323425 47.313473;9.319621 47.205569;9.088694 47.20911;9.092031 47.317022
1115 SAENTIS, 9.323425 47.313473;9.554788 47.309461;9.550516 47.201565;9.319621 47.205569;9.323425 47.313473
1116 FELDKIRCH, 9.554788 47.309461;9.786115 47.304985;9.781376 47.197097;9.550516 47.201565;9.554788 47.309461
1123 LE RUSSEY, 6.547516 47.217483;6.778535 47.219039;6.779865 47.111105;6.549311 47.109552;6.547516 47.217483
1124 LES BOIS, 6.778535 47.219039;7.009565 47.220131;7.010429 47.112195;6.779865 47.111105;6.778535 47.219039
1125 CHASSERAL, 7.009565 47.220131;7.240602 47.22076;7.241001 47.112822;7.010429 47.112195;7.009565 47.220131
1126 BUEREN AN DER AARE, 7.240602 47.22076;7.471643 47.220925;7.471577 47.112987;7.241001 47.112822;7.240602 47.22076
1127 SOLOTHURN, 7.471643 47.220925;7.702683 47.220627;7.702151 47.11269;7.471577 47.112987;7.471643 47.220925
1128 LANGENTHAL, 7.702683 47.220627;7.933719 47.219866;7.932722 47.111931;7.702151 47.11269;7.702683 47.220627
1129 SURSEE, 7.933719 47.219866;8.164746 47.218642;8.163283 47.110708;7.932722 47.111931;7.933719 47.219866
1130 HOCHDORF, 8.164746 47.218642;8.395761 47.216954;8.393833 47.109024;8.163283 47.110708;8.164746 47.218642
1131 ZUG, 8.395761 47.216954;8.62676 47.214803;8.624367 47.106877;8.393833 47.109024;8.395761 47.216954
1132 EINSIEDELN, 8.62676 47.214803;8.857739 47.212188;8.85488 47.104268;8.624367 47.106877;8.62676 47.214803
1133 LINTHEBENE, 8.857739 47.212188;9.088694 47.20911;9.08537 47.101196;8.85488 47.104268;8.857739 47.212188
1134 WALENSEE, 9.088694 47.20911;9.319621 47.205569;9.315832 47.097662;9.08537 47.101196;9.088694 47.20911
1135 BUCHS, 9.319621 47.205569;9.550516 47.201565;9.546262 47.093665;9.315832 47.097662;9.319621 47.205569
1136 DREI SCHWESTERN, 9.550516 47.201565;9.781376 47.197097;9.776656 47.089207;9.546262 47.093665;9.550516 47.201565
1143 LE LOCLE, 6.549311 47.109552;6.779865 47.111105;6.781189 47.003168;6.551099 47.001619;6.549311 47.109552
1144 VAL DE RUZ, 6.779865 47.111105;7.010429 47.112195;7.01129 47.004256;6.781189 47.003168;6.779865 47.111105
1145 BIELER SEE, 7.010429 47.112195;7.241001 47.112822;7.241399 47.004883;7.01129 47.004256;7.010429 47.112195
1146 LYSS, 7.241001 47.112822;7.471577 47.112987;7.47151 47.005047;7.241399 47.004883;7.241001 47.112822
1147 BURGDORF, 7.471577 47.112987;7.702151 47.11269;7.701622 47.004751;7.47151 47.005047;7.471577 47.112987
1148 SUMISWALD, 7.702151 47.11269;7.932722 47.111931;7.931728 47.003992;7.701622 47.004751;7.702151 47.11269
1149 WOLHUSEN, 7.932722 47.111931;8.163283 47.110708;8.161827 47.002773;7.931728 47.003992;7.932722 47.111931
1150 LUZERN, 8.163283 47.110708;8.393833 47.109024;8.391913 47.001092;8.161827 47.002773;8.163283 47.110708
1151 RIGI, 8.393833 47.109024;8.624367 47.106877;8.621983 46.998949;8.391913 47.001092;8.393833 47.109024
1152 IBERGEREGG, 8.624367 47.106877;8.85488 47.104268;8.852033 46.996345;8.621983 46.998949;8.624367 47.106877
1153 KLOENTAL, 8.85488 47.104268;9.08537 47.101196;9.082059 46.993279;8.852033 46.996345;8.85488 47.104268
1154 SPITZMEILEN, 9.08537 47.101196;9.315832 47.097662;9.312057 46.989752;9.082059 46.993279;9.08537 47.101196
1155 SARGANS, 9.315832 47.097662;9.546262 47.093665;9.542024 46.985763;9.312057 46.989752;9.315832 47.097662
1156 SCHESAPLANA, 9.546262 47.093665;9.776656 47.089207;9.771955 46.981313;9.542024 46.985763;9.546262 47.093665
1157 SULZFLUH, 9.776656 47.089207;10.007011 47.084285;10.001846 46.976402;9.771955 46.981313;9.776656 47.089207
1159 ISCHGL, 10.237323 47.078901;10.467587 47.073055;10.461495 46.965194;10.231694 46.971029;10.237323 47.078901
1162 LES VERRIERES, 6.321024 46.999608;6.551099 47.001619;6.55288 46.893683;6.323267 46.891677;6.321024 46.999608
1163 TRAVERS, 6.551099 47.001619;6.781189 47.003168;6.782508 46.89523;6.55288 46.893683;6.551099 47.001619
1164 NEUCHATEL, 6.781189 47.003168;7.01129 47.004256;7.012148 46.896315;6.782508 46.89523;6.781189 47.003168
1165 MURTEN, 7.01129 47.004256;7.241399 47.004883;7.241794 46.89694;7.012148 46.896315;7.01129 47.004256
1166 BERN, 7.241399 47.004883;7.47151 47.005047;7.471444 46.897105;7.241794 46.89694;7.241399 47.004883
1167 WORB, 7.47151 47.005047;7.701622 47.004751;7.701094 46.896809;7.471444 46.897105;7.47151 47.005047
1168 LANGNAU I. E,. 7.701622 47.004751;7.931728 47.003992;7.930739 46.896052;7.701094 46.896809;7.701622 47.004751
